pid;#1;#2;#conflict;mortgageChoice;mortgagePrompt
42;0;0;0;0;{'Q0': 'I would choose the one that is cheapest and best suited for myself.', 'Q1': 'I would decide after evaluating each option for which one is best for myself.'}
226;1;1;0;1;"{'Q0': 'the long run. 19 yrs', 'Q1': ""it's more beneficial long term""}"
76;1;1;0;1;"{'Q0': 'Determine how much interest I would pay overall and depends on my financial situation at the time ', 'Q1': ""Mortgage rate and my financial situation (current and future) matter but also the lender matters - e.g. is it a well known bank or a small lender I've never heard of""}"
72;1;1;0;1;{'Q0': 'I would choose the interest rate that has the lowest long-term loan, in order to minimize the long-term interest I pay.', 'Q1': 'I decided that the mortgage with the lowest long-term rate is the best, as it will mean lower payments over the long term, even if it means higher short-term payments. '}
184;1;1;0;1;{'Q0': 'I would use an amortization calculator to select one that will have me paying the lowest interest rate over the entire mortgage. ', 'Q1': 'The one with the lowest interest paid over the entire mortgage. '}
171;1;1;0;1;{'Q0': 'I would try to choose the loan with the overall lowest interest rates.', 'Q1': 'I chose the mortgage with the overall lowest interest rates.'}
196;1;1;0;1;{'Q0': 'I would run the calculations to see which cost the least in the long run. ', 'Q1': 'Based on bottom line which one would cost me the least'}
128;0;0;0;0;{'Q0': 'I would choose the lowest fixed rate at all times.', 'Q1': 'Because fixed rate is the best option for any length loan.'}
203;0;0;0;0;{'Q0': 'lowest interest rates ', 'Q1': 'security of mortgage company '}
178;0;0;0;0;{'Q0': 'I would choose the one with the lowest interest rate.', 'Q1': 'I would just go with the lowest interest rate.'}
41;1;1;0;1;{'Q0': 'I would research the terms and figure out which would cause me to pay the least over time.', 'Q1': 'The one that had the best terms and cost the least over time was chosen.'}
10;1;1;0;1;{'Q0': 'would calculate the total cost', 'Q1': 'which ever cost the least over the full term'}
9;0;0;0;0;{'Q0': 'growth mindset', 'Q1': 'good'}
36;1;1;0;1;{'Q0': 'The loan that has the lowest interest rate for the 19 years.', 'Q1': 'The one that, in the end, helps save me money.'}
124;1;1;0;1;"{'Q0': 'I would choose the mortgage that had a fixed interest rate for 19 years', 'Q1': ""I wouldn't want to chance paying a variable rate if it was going to be higher than the rate I started out with.""}"
85;1;1;0;1;{'Q0': 'I would choose the mortgage that resulted in the least interest paid as long as I could afford it.', 'Q1': 'The best mortgage is one that I would pay the least total money toward.'}
172;0;0;0;0;{'Q0': 'I would make the decision based on how I earn money, my age, and future wage earning ', 'Q1': 'I would look closely at the interest rates'}
2;1;1;0;1;{'Q0': 'I would choose the rate with the lowest rate for the next 19 years ', 'Q1': 'Would prefer to pay a lower rater over time than right off the bat '}
